id,title,year,doi,cited_by_count,source,abstract,authors,topics,keywords
W1994414501,Geographic information systems and science,2005,https://doi.org/10.1111/j.1477-9730.2005.00343_5.x,912,The Photogrammetric Record,"involving artificial neural networks, graphs theory, cellular automata, and multiagent systems.Jorge's works are quite diverse, focusing mainly, but not exclusively, on urban morphology, remote sensing, epidemiology, health geography, smart cities, and big data.Patrícia Abrantes is an assistant professor in the Institute of Ge",A. Retalis,Geographic Information Systems Studies | Land Use and Ecosystem Services | Satellite Image Processing and Photogrammetry,Citation | Computer science | Information retrieval | Library science | World Wide Web | Data science
W2933602294,Knowledge Graphs: New Directions for Knowledge Representation on the Semantic Web (Dagstuhl Seminar 18371),2019,https://doi.org/10.4230/dagrep.8.9.29,114,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),"The increasingly pervasive nature of the Web, expanding to devices and things in everyday life, along with new trends in Artificial Intelligence call for new paradigms and a new look on Knowledge Representation and Processing at scale for the Semantic Web. The emerging, but still to be concretely shaped concept of ""Knowledge Graphs"" provides an excellent unifying metaphor for this current status of Semantic Web research. More than two decades of Semantic Web research provides a solid basis and a promising technology and standards stack to interlink data, ontologies and knowledge on the Web. However, neither are applications for Knowledge Graphs as such limited to Linked Open Data, nor are instantiations of Knowledge Graphs in enterprises - while often inspired by - limited to the core Semantic Web stack. This report documents the program and the outcomes of Dagstuhl Seminar 18371 ""Knowledge Graphs: New Directions for Knowledge Representation on the Semantic Web"", where a group of experts from academia and industry discussed fundamental questions around these topics for a week in early September 2018, including the following: what are knowledge graphs? Which applications do we see to emerge? Which open research questions still need be addressed and which technology gaps still need to be closed?",Piero A. Bonatti | Stefan Decker | Axel Polleres | Valentina Presutti,Semantic Web and Ontologies | Data Quality and Management | Advanced Graph Neural Networks,Computer science | Social Semantic Web | Semantic Web | Semantic analytics | Semantic Web Stack | Knowledge representation and reasoning | World Wide Web
W2090244154,Geo-social visual analytics,2014,https://doi.org/10.5311/josis.2014.8.139,53,Journal of Spatial Information Science,"Spatial analysis and social network analysis typically consider social processes in their own specific contexts, either geographical or network space. Both approaches demonstrate strong conceptual overlaps. For example, actors close to each other tend to have greater similarity than those far apart; this phenomenon has different labels in geography (spatial autocorrelation) and in network science (homophily). In spite of those conceptual and observed overlaps, the integration of geography and social network context has not received the attention needed in order to develop a comprehensive understanding of their interaction or their impact on outcomes of interest, such as population health behaviors, information dissemination, or human behavior in a crisis. In order to address this gap, this paper discusses the integration of geographic with social network perspectives applied to understanding social processes in place from two levels: the theoretical level and the methodological level. At the theoretical level, this paper argues that the concepts of nearness and relationship in terms of a possible extension of the First Law of Geography are a matter of both geographical and social network distance, relationship, and interaction. At the methodological level, the integration of geography and social network contexts are framed within a new interdisciplinary field:~visual analytics, in which three major application-oriented subfields (data exploration, decision-making, and predictive analysis) are used to organize discussion. In each subfield, this paper presents a theoretical framework first, and then reviews what has been achieved regarding geo-social visual analytics in order to identify potential future research.",Wei Luo | Alan M. MacEachren,Human Mobility and Location-Based Analysis | Data Visualization and Analytics | Geographic Information Systems Studies,Data science | Homophily | Social network analysis | Social network (sociolinguistics) | Visual analytics | Context (archaeology) | Network science
W2626959846,The State of the Art in Sentiment Visualization,2017,https://doi.org/10.1111/cgf.13217,107,Computer Graphics Forum,"Abstract Visualization of sentiments and opinions extracted from or annotated in texts has become a prominent topic of research over the last decade. From basic pie and bar charts used to illustrate customer reviews to extensive visual analytics systems involving novel representations, sentiment visualization techniques have evolved to deal with complex multidimensional data sets, including temporal, relational and geospatial aspects. This contribution presents a survey of sentiment visualization techniques based on a detailed categorization. We describe the background of sentiment analysis, introduce a categorization for sentiment visualization techniques that includes 7 groups with 35 categories in total, and discuss 132 techniques from peer‐reviewed publications together with an interactive web‐based survey browser. Finally, we discuss insights and opportunities for further research in sentiment visualization. We expect this survey to be useful for visualization researchers whose interests include sentiment or other aspects of text data as well as researchers and practitioners from other disciplines in search of efficient visualization techniques applicable to their tasks and data.",Kostiantyn Kucher | Carita Paradis | Andreas Kerren,Sentiment Analysis and Opinion Mining | Advanced Text Analysis Techniques | Data Visualization and Analytics,Visualization | Computer science | Visual analytics | Sentiment analysis | Categorization | Data science | Geovisualization
W4306759050,A survey of urban visual analytics: Advances and future directions,2022,https://doi.org/10.1007/s41095-022-0275-7,72,Computational Visual Media,"Developing effective visual analytics systems demands care in characterization of domain problems and integration of visualization techniques and computational models. Urban visual analytics has already achieved remarkable success in tackling urban problems and providing fundamental services for smart cities. To promote further academic research and assist the development of industrial urban analytics systems, we comprehensively review urban visual analytics studies from four perspectives. In particular, we identify 8 urban domains and 22 types of popular visualization, analyze 7 types of computational method, and categorize existing systems into 4 types based on their integration of visualization techniques and computational models. We conclude with potential research directions and opportunities.",Zikun Deng | Di Weng | Shuhan Liu | Yuan Tian | Mingliang Xu | Yingcai Wu,Data Visualization and Analytics | Human Mobility and Location-Based Analysis | Land Use and Ecosystem Services,Visual analytics | Visualization | Data science | Computer science | Domain (mathematical analysis) | Analytics | Categorization
W2828623846,Geospatial Analysis and the Internet of Things,2018,https://doi.org/10.3390/ijgi7070269,68,ISPRS International Journal of Geo-Information,"As the Internet of Things (IoT) penetrates our everyday lives, being used to address a wide variety of real-life challenges and problems, the location of things becomes an important parameter. The exact location of measuring the physical world through IoT is highly relevant to understand local environmental conditions, or to develop powerful, personalized and context-aware location-based services and applications. This survey paper maps and analyzes the IoT based on its location dimension, categorizing IoT applications and projects according to the geospatial analytical methods performed. The survey investigates the opportunities of location-aware IoT, and examines the potential of geospatial analysis in this research area.",Andreas Kamilaris | Frank Ostermann,Human Mobility and Location-Based Analysis | Geographic Information Systems Studies | Data Management and Algorithms,Geospatial analysis | Internet of Things | Variety (cybernetics) | Data science | Context (archaeology) | Computer science | Dimension (graph theory)
W3209986559,Spatial regression graph convolutional neural networks: A deep learning paradigm for spatial multivariate distributions,2021,https://doi.org/10.1007/s10707-021-00454-x,87,GeoInformatica,,Di Zhu | Yu Liu | Xin Yao | Manfréd M. Fischer,Spatial and Panel Data Analysis | Human Mobility and Location-Based Analysis | Urban Transport and Accessibility,Computer science | Artificial intelligence | Geospatial analysis | Locality | Deep learning | Graph | Multivariate statistics
W2287566020,Genome assembly and geospatial phylogenomics of the bed bug Cimex lectularius,2016,https://doi.org/10.1038/ncomms10164,123,Nature Communications,"The common bed bug (Cimex lectularius) has been a persistent pest of humans for thousands of years, yet the genetic basis of the bed bug's basic biology and adaptation to dense human environments is largely unknown. Here we report the assembly, annotation and phylogenetic mapping of the 697.9-Mb Cimex lectularius genome, with an N50 of 971 kb, using both long and short read technologies. A RNA-seq time course across all five developmental stages and male and female adults generated 36,985 coding and noncoding gene models. The most pronounced change in gene expression during the life cycle occurs after feeding on human blood and included genes from the Wolbachia endosymbiont, which shows a simultaneous and coordinated host/commensal response to haematophagous activity. These data provide a rich genetic resource for mapping activity and density of C. lectularius across human hosts and cities, which can help track, manage and control bed bug infestations.",Jeffrey Rosenfeld | Darryl Reeves | Mercer R. Brugler | Apurva Narechania | Sabrina Simon | R. Durrett | Jonathan Foox | Kevin V. Shianna | Michael C. Schatz | Jorge Gandara,Dermatological diseases and infestations | Insects and Parasite Interactions | Insect symbiosis and bacterial influences,Bed bug | Cimex lectularius | Biology | Wolbachia | Phylogenomics | Genome | Host adaptation
W2801516600,Visualization of Cultural Heritage Collection Data: State of the Art and Future Challenges,2018,https://doi.org/10.1109/tvcg.2018.2830759,238,IEEE Transactions on Visualization and Computer Graphics,"After decades of digitization, large cultural heritage collections have emerged on the web, which contain massive stocks of content from galleries, libraries, archives, and museums. This increase in digital cultural heritage data promises new modes of analysis and increased levels of access for academic scholars and casual users alike. Going beyond the standard representations of search-centric and grid-based interfaces, a multitude of approaches has recently started to enable visual access to cultural collections, and to explore them as complex and comprehensive information spaces by the means of interactive visualizations. In contrast to conventional web interfaces, we witness a widening spectrum of innovative visualization types specially designed for rich collections from the cultural heritage sector. This new class of information visualizations gives rise to a notable diversity of interaction and representation techniques while lending currency and urgency to a discussion about principles such as serendipity, generosity, and criticality in connection with visualization design. With this survey, we review information visualization approaches to digital cultural heritage collections and reflect on the state of the art in techniques and design choices. We contextualize our survey with humanist perspectives on the field and point out opportunities for future research.",Florian Windhager | Paolo Federico | Günther Schreder | Katrin Glinka | Marian Dörk | Silvia Miksch | Eva Mayr,Data Visualization and Analytics | Video Analysis and Summarization | Web Data Mining and Analysis,Cultural heritage | Computer science | World Wide Web | Visualization | Data science | Information visualization | Archaeology
W4406643700,Towards the next generation of Geospatial Artificial Intelligence,2025,https://doi.org/10.1016/j.jag.2025.104368,82,International Journal of Applied Earth Observation and Geoinformation,"Geospatial Artificial Intelligence (GeoAI), as the integration of geospatial studies and AI, has become one of the fastest-developing research directions in spatial data science and geography . This rapid change in the field calls for a deeper understanding of the recent developments and envision where the field is going in the near future. In this work, we provide a quantitative analysis of the GeoAI literature from the spatial, temporal, and semantic aspects. We briefly discuss the history of AI and GeoAI by highlighting some pioneering work. Then we discuss the current landscape of GeoAI by selecting five representative subdomains including remote sensing , urban computing, Earth system science , cartography , and geospatial semantics. Finally, we highlight several unique future research directions of GeoAI which are classified into two groups: GeoAI method development challenges and GeoAI Ethics challenges. Topics include heterogeneity-aware GeoAI, knowledge-guided GeoAI, spatial representation learning, geo-foundation models, fairness-aware GeoAI, privacy-aware GeoAI, as well as interpretable and explainable GeoAI. We hope our review of GeoAI’s past, present, and future is comprehensive and can enlighten the next generation of GeoAI research.",Gengchen Mai | Yiqun Xie | Xiaowei Jia | Ni Lao | Jinmeng Rao | Qing Zhu | Zeping Liu | Yao‐Yi Chiang | Junfeng Jiao,Geographic Information Systems Studies | Automated Road and Building Extraction | Data Management and Algorithms,Geospatial analysis | Geomatics | Geography | Cartography | Data science | Regional science | Computer science
